number ; verb/word ; additionalInfo ; url
66;0.0605049462808;Maschinen- und Anlagenführer/in, avanti GmbH NL Köln, Leverkusen, Full Time;https://www.jopago.com/jobs/4775909-maschinen-und-anlagenfuhrer-in-bei-avanti-gmbh-nl-koln
67;0.0683575865934;Bauhelfer/in, bautec Gesellschaft für Zeitarbeit mbH, Wipperfürth, Full Time;https://www.jopago.com/jobs/4775902-bauhelfer-in-bei-bautec-gesellschaft-fur-zeitarbeit-mbh
68;0.0489150941937;CNC Fräser/in, avanti GmbH NL Köln, Bergisch Gladbach, Full Time;https://www.jopago.com/jobs/4775971-cnc-fraser-in-bei-avanti-gmbh-nl-koln
69;0.0412152414457;MIG/MAG Schweißer/in, avanti GmbH NL Köln, Leverkusen, Full Time;https://www.jopago.com/jobs/4775920-mig-mag-schweisser-in-bei-avanti-gmbh-nl-koln
70;0.0643131638758;Fachkrankenschwester/pfleger Intensivpflege, avanti GmbH NL Köln, Köln, Full Time;https://www.jopago.com/jobs/4775997-fachkrankenschwester-pfleger-intensivpflege-bei-avanti-gmbh-nl-koln
71;0.129877136752;Fachverkäufer/innen im Lebensmittelbereich (Personalvermittlung), consider it GmbH, Hamburg, Full Time;https://www.jopago.com/jobs/4776071-fachverkaufer-innen-im-lebensmittelbereich-personalvermittlung-bei-consider-it-gmbh
72;0.0649051928464;IT Systemadministrator (m/w) - Personalvermittlung, consider it GmbH, Hamburg, Full Time;https://www.jopago.com/jobs/4776030-it-systemadministrator-m-w-personalvermittlung-bei-consider-it-gmbh
73;0.0449270397546;Pflegehelfer/in, avanti GmbH NL Köln, Meckenheim, Full Time;https://www.jopago.com/jobs/4775905-pflegehelfer-in-bei-avanti-gmbh-nl-koln
74;0.0449987821992;Pflegehelfer/in, avanti GmbH NL Köln, Bonn, Full Time;https://www.jopago.com/jobs/4775906-pflegehelfer-in-bei-avanti-gmbh-nl-koln
75;0.0301797834086;IT-Systemadministrator (m/w), avanti GmbH NL Köln, Meckenheim, Full Time;https://www.jopago.com/jobs/4775915-it-systemadministrator-m-w-bei-avanti-gmbh-nl-koln
76;0.0605049462808;Maschinen- und Anlagenführer/in, avanti GmbH NL Köln, Leverkusen, Full Time;https://www.jopago.com/jobs/4775909-maschinen-und-anlagenfuhrer-in-bei-avanti-gmbh-nl-koln
